#{"t_start": 1649568369.999021, "env_id": "SimpleDriving-v0"}
r,l,t
-3.709783,1,0.026762
-4.435385,1,0.035032
-6.556808,1,0.045511
-5.803461,1,0.053646
-3.984492,1,0.06185
-4.966667,1,0.072067
-3.601955,1,0.083738
-6.009813,1,0.092516
-3.331846,1,0.100564
-6.384777,1,0.109391
-6.592356,1,0.116933
-6.471296,1,0.125086
-5.45103,1,0.133245
-5.040185,1,0.141356
-5.269212,1,0.149457
-5.9811,1,0.157874
-3.148374,1,0.166208
-5.147553,1,0.174086
-6.365708,1,0.181745
-3.861184,1,0.19012
-3.15873,1,0.197688
-5.59333,1,0.20571
-4.807386,1,0.213772
-4.595173,1,0.222157
-3.418686,1,0.230621
-6.90324,1,0.238917
-5.2478,1,0.247021
-4.742895,1,0.255146
-5.070415,1,0.26365
-5.478758,1,0.272574
-6.853172,1,0.280451
-4.233765,1,0.28881
-5.480145,1,0.297198
-3.139732,1,0.306207
-6.387088,1,0.314021
-6.181386,1,0.322376
-6.690073,1,0.330907
-3.467229,1,0.339031
-3.449798,1,0.347033
-3.851035,1,0.354932
-3.505302,1,0.363523
-5.305047,1,0.371515
-6.810572,1,0.379782
-4.269602,1,0.387646
-4.559481,1,0.395606
-4.848853,1,0.403836
-3.90091,1,0.411909
-5.591978,1,0.419786
-4.52441,1,0.427839
-6.133957,1,0.435671
-3.277006,1,0.443863
-5.087899,1,0.451851
-3.23736,1,0.46031
-3.87914,1,0.468247
-5.678805,1,0.476274
-5.771046,1,0.48441
-3.687559,1,0.49232
-6.930091,1,0.501589
-3.303656,1,0.509504
-3.928158,1,0.517522
-6.773748,1,0.525549
-4.945839,1,0.533447
-3.569705,1,0.541407
-4.754209,1,0.549198
-5.895958,1,0.557283
-4.955051,1,0.565629
-5.319828,1,0.573718
-5.047544,1,0.581925
-6.567345,1,0.590064
-5.197077,1,0.597722
-4.580652,1,0.605611
-6.578025,1,0.613487
-6.721416,1,0.621432
-5.969175,1,0.630902
-5.28138,1,0.638577
-5.47337,1,0.646514
-3.696659,1,0.654361
-6.030194,1,0.662287
-5.22154,1,0.669876
-3.553805,1,0.677814
-6.063116,1,0.685626
-5.825174,1,0.694722
-6.653939,1,0.702826
-4.503821,1,0.710979
-3.845132,1,0.71901
-5.037994,1,0.727694
-5.160526,1,0.735315
-6.267941,1,0.743236
-5.12683,1,0.751001
-5.399228,1,0.759069
-5.870722,1,0.766703
-6.873143,1,0.774382
-5.120718,1,0.782006
-5.47404,1,0.789834
-4.923864,1,0.797408
-3.777878,1,0.805044
-3.988298,1,0.812802
-3.802605,1,0.820547
-5.752412,1,0.828569
-3.679401,1,0.836532
-6.800137,1,0.845077
-4.475428,1,0.853222
-6.503237,1,0.861312
-3.769431,1,0.869629
-4.740638,1,0.877912
-5.389471,1,0.885846
-5.467122,1,0.894251
-4.684409,1,0.901816
-3.666093,1,0.910032
-6.824443,1,0.917848
-3.56856,1,0.92596
-5.499042,1,0.933849
-5.352044,1,0.942006
-5.943116,1,0.949987
-3.241699,1,0.958157
-3.875605,1,0.965922
-3.060077,1,0.97368
-6.579057,1,0.981784
-5.525702,1,0.989226
-5.021509,1,0.997021
-5.451892,1,1.005047
-5.240972,1,1.0125
-3.14251,1,1.020104
-4.073255,1,1.027633
-6.288382,1,1.034583
-5.850906,1,1.041225
-4.999791,1,1.04787
-6.614201,1,1.054544
-6.09228,1,1.061257
-3.916791,1,1.067931
-6.143163,1,1.074653
-3.312275,1,1.081355
-4.677685,1,1.088052
-5.414513,1,1.094845
-4.653597,1,1.101585
-6.675383,1,1.108282
-3.141054,1,1.114926
-5.185361,1,1.122258
-3.079014,1,1.130061
-4.910246,1,1.137897
-4.030424,1,1.145754
-4.881851,1,1.153257
-3.365583,1,1.161272
-3.420357,1,1.168962
-3.46882,1,1.176863
-6.751922,1,1.184654
-6.272712,1,1.19258
-5.122375,1,1.200173
-6.217678,1,1.208301
-3.36508,1,1.215871
-5.99731,1,1.223679
-5.731269,1,1.233945
-3.442693,1,1.241839
-6.372904,1,1.249772
-5.838478,1,1.257702
-5.181883,1,1.265252
-5.927647,1,1.273332
-5.333705,1,1.281001
-4.91822,1,1.28872
-5.720051,1,1.296878
-5.489503,1,1.304537
-5.084789,1,1.312362
-4.234738,1,1.320103
-5.812759,1,1.328079
-5.478669,1,1.335722
-5.827969,1,1.34381
-5.129086,1,1.351748
-4.437808,1,1.359579
-4.131877,1,1.36723
-3.970207,1,1.375037
-3.176581,1,1.382832
-6.73256,1,1.390624
-4.739465,1,1.398858
-6.509771,1,1.406318
-6.314868,1,1.414163
-4.036007,1,1.421897
-6.219789,1,1.429822
-6.388444,1,1.437439
-5.985245,1,1.445381
-6.094112,1,1.45288
-4.476482,1,1.460633
-5.719184,1,1.468076
-5.558559,1,1.475926
-6.837285,1,1.483424
-3.003457,1,1.491101
-5.730242,1,1.498886
-4.821697,1,1.506534
-5.745639,1,1.514172
-4.958632,1,1.521736
-5.262496,1,1.529337
-5.836039,1,1.536997
-4.650008,1,1.544746
-5.037407,1,1.552384
-4.961898,1,1.560396
-3.450024,1,1.568084
-6.106651,1,1.575603
-4.166507,1,1.583455
-6.385619,1,1.591497
-6.838879,1,1.599101
-4.886665,1,1.606853
-3.726238,1,1.614324
-4.519807,1,1.621622
-3.464575,1,1.629018
-3.364769,1,1.636322
-5.766122,1,1.644148
-4.724312,1,1.651652
-5.865936,1,1.659511
-4.800643,1,1.667609
-6.092691,1,1.675566
-6.084423,1,1.683091
-6.643466,1,1.690866
-5.174814,1,1.698737
-6.095029,1,1.706549
-6.794007,1,1.714328
-4.258149,1,1.72224
-6.394077,1,1.730335
-6.075525,1,1.737752
-4.674716,1,1.746081
-5.624564,1,1.753626
-3.645302,1,1.761451
-3.172145,1,1.769231
-3.99862,1,1.77738
-3.082766,1,1.785205
-4.753625,1,1.793107
-5.712606,1,1.80077
-4.939833,1,1.808753
-6.976667,1,1.816706
-3.704668,1,1.824599
-6.431693,1,1.832595
-3.795872,1,1.840606
-5.568412,1,1.848661
-4.2318,1,1.857894
-6.598598,1,1.868716
-4.872184,1,1.881114
-4.092259,1,1.889202
-5.269093,1,1.896902
-3.252536,1,1.904647
-5.655085,1,1.912776
-3.080061,1,1.921157
-5.270435,1,1.933485
-5.254702,1,1.94241
-5.71943,1,1.951052
-6.10775,1,1.959905
-5.647943,1,1.967877
-6.556456,1,1.97629
-4.49717,1,1.984318
-4.791976,1,1.992494
-6.112222,1,2.000406
-3.757023,1,2.008474
-4.968155,1,2.016537
-3.199156,1,2.024725
-3.086355,1,2.032736
-4.91435,1,2.040859
-3.15694,1,2.049235
-5.04819,1,2.057254
-5.600001,1,2.06529
-6.546101,1,2.073201
-6.956159,1,2.081268
-6.997484,1,2.088704
-6.296683,1,2.096535
-5.479551,1,2.104213
-4.783821,1,2.112022
-5.743486,1,2.119819
-4.132303,1,2.127485
-3.080612,1,2.135152
-6.718008,1,2.14283
-5.654136,1,2.15051
-6.145121,1,2.158624
-5.567745,1,2.166346
-6.670163,1,2.173878
-5.015039,1,2.181419
-6.355818,1,2.189035
-5.37985,1,2.196748
-3.166539,1,2.204367
-6.06543,1,2.212173
-4.350056,1,2.219944
-6.096382,1,2.228172
-5.731603,1,2.236016
-5.331975,1,2.244222
-6.124509,1,2.252001
-6.226707,1,2.2602
-5.493692,1,2.268021
-6.433988,1,2.275826
-3.781891,1,2.283577
-4.489607,1,2.291252
-4.250488,1,2.299043
-4.889975,1,2.306738
-3.149228,1,2.314533
-3.320261,1,2.322229
-3.126932,1,2.33012
-4.305575,1,2.337822
-6.005474,1,2.345471
-5.090644,1,2.353172
-5.617181,1,2.361004
-6.929803,1,2.368646
-6.712054,1,2.376582
-3.601503,1,2.384095
-4.764119,1,2.39183
-4.279105,1,2.399862
-6.919838,1,2.407344
-6.673698,1,2.415191
-4.916555,1,2.422824
-4.202942,1,2.430569
-6.673208,1,2.438101
-3.223765,1,2.445761
-4.8406,1,2.45344
-6.873324,1,2.461171
-4.277351,1,2.468798
-3.177873,1,2.476455
-4.556053,1,2.484067
-4.789805,1,2.491673
-5.839817,1,2.499485
-3.679135,1,2.507253
-6.687413,1,2.514961
-5.821139,1,2.5226
-6.717672,1,2.530402
-6.343769,1,2.538109
-3.475607,1,2.545938
-4.399246,1,2.553651
-3.038901,1,2.561413
-5.064712,1,2.569096
-3.739724,1,2.576583
-3.064533,1,2.584069
-6.067044,1,2.591482
-5.158719,1,2.598838
-4.505879,1,2.606158
-5.388162,1,2.613398
-4.493453,1,2.620594
-6.767686,1,2.627791
-6.100352,1,2.634816
-3.4971,1,2.641149
-5.282585,1,2.647509
-6.355844,1,2.653791
-4.867648,1,2.660076
-3.972397,1,2.666348
-4.654515,1,2.672788
-6.216575,1,2.679088
-5.300014,1,2.685365
-5.219095,1,2.69165
-5.743066,1,2.697946
-6.729765,1,2.704643
-5.951331,1,2.71202
-5.965775,1,2.718873
-4.374656,1,2.725483
-5.711373,1,2.731984
-6.377755,1,2.738305
-4.028062,1,2.744903
-6.734866,1,2.751556
-3.750693,1,2.758042
-5.295678,1,2.764479
-6.768551,1,2.770905
-5.19819,1,2.777513
-5.140243,1,2.784171
-3.085219,1,2.790877
-6.388328,1,2.797572
-3.495232,1,2.803919
-4.758238,1,2.810347
-3.489209,1,2.81661
-4.805256,1,2.822833
-4.377183,1,2.829221
-3.601936,1,2.837939
-3.548626,1,2.845686
-5.934362,1,2.852152
-6.30104,1,2.858507
-4.629241,1,2.864843
-5.789114,1,2.871037
-6.77484,1,2.877236
-6.298654,1,2.883648
-4.848332,1,2.889986
-3.30531,1,2.896621
-3.790023,1,2.903165
-4.976578,1,2.910078
-3.307292,1,2.916814
-3.753698,1,2.923324
-6.814811,1,2.92977
-3.549179,1,2.936356
-6.645878,1,2.943213
-4.321533,1,2.94988
-6.16307,1,2.957056
-5.894552,1,2.964831
-5.398837,1,2.972689
-5.754619,1,2.980488
-6.524257,1,2.988279
-5.393236,1,2.996145
-3.633906,1,3.003967
-6.934915,1,3.01182
-4.295756,1,3.019368
-4.1154,1,3.027341
-5.625341,1,3.03538
-6.388937,1,3.043122
-3.109308,1,3.050902
-6.310602,1,3.058574
-5.76848,1,3.065215
-5.141102,1,3.072125
-6.023102,1,3.078603
-5.635438,1,3.085196
-3.591332,1,3.091947
-5.921274,1,3.098436
-4.510586,1,3.105009
-3.318952,1,3.111517
-3.410942,1,3.119311
-6.663744,1,3.127613
-5.570618,1,3.135256
-5.951869,1,3.143088
-3.505283,1,3.151051
-6.995354,1,3.159183
-6.671128,1,3.166977
-3.128435,1,3.174999
-3.201622,1,3.183091
-4.16462,1,3.191343
-5.496054,1,3.199379
-4.146909,1,3.207527
-6.847447,1,3.216426
-5.530228,1,3.224236
-6.725593,1,3.233053
-4.730611,1,3.241456
-5.663458,1,3.250151
-5.222551,1,3.258661
-3.798555,1,3.267049
-3.257077,1,3.275486
-4.671486,1,3.283988
-3.352895,1,3.292671
-3.034026,1,3.301455
-5.070758,1,3.310129
-6.996984,1,3.318596
-6.170453,1,3.327103
-5.717731,1,3.335266
-3.829209,1,3.343986
-6.989276,1,3.352239
-6.054407,1,3.359993
-3.165482,1,3.368316
-3.684078,1,3.376227
-5.845731,1,3.384179
-6.333119,1,3.391727
-4.888561,1,3.399785
-6.620584,1,3.407261
-3.634755,1,3.415047
-3.829818,1,3.422685
-4.043053,1,3.429623
-6.671459,1,3.436226
-3.971874,1,3.443355
-3.364623,1,3.450193
-3.006888,1,3.457839
-4.23753,1,3.465603
-6.133281,1,3.473439
-5.946748,1,3.481487
-5.534826,1,3.489563
-3.93144,1,3.497801
-4.985711,1,3.50553
-3.39379,1,3.513475
-4.89492,1,3.52131
-6.755195,1,3.529772
-6.118212,1,3.537483
-4.089853,1,3.545369
-4.485993,1,3.553067
-5.122743,1,3.561361
-5.987758,1,3.569477
-4.364191,1,3.577989
-3.961563,1,3.586304
-6.140166,1,3.59503
-6.437916,1,3.603638
-4.551747,1,3.612723
-4.597992,1,3.621071
-5.223186,1,3.629985
-6.252249,1,3.639676
-6.460176,1,3.648368
-5.238582,1,3.657725
-4.919994,1,3.666306
-3.963349,1,3.674774
-4.741661,1,3.683699
-6.449674,1,3.692989
-5.132373,1,3.701953
-3.375735,1,3.710765
-5.020441,1,3.720413
-3.204768,1,3.729508
-3.267243,1,3.737884
-3.704502,1,3.746596
-3.953256,1,3.755305
-6.066212,1,3.763744
-6.526312,1,3.771779
-5.214042,1,3.780994
-4.167582,1,3.788957
-6.118106,1,3.797182
-5.77671,1,3.805665
-6.700787,1,3.813591
-3.710924,1,3.821886
-6.302861,1,3.829988
-4.426072,1,3.837962
-5.998376,1,3.84576
-6.490159,1,3.853486
