#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
-8.350765,34,0.041295
44.472482,29,0.065889
-39.291817,41,0.095876
-10.519772,26,0.116216
-13.014788,40,0.143063
43.525196,34,0.167774
-30.028812,34,0.191463
41.440053,38,0.217018
-9.146423,34,0.240569
-12.293455,36,0.264465
-9.44652,29,0.288105
-14.304354,48,0.31954
-18.787188,39,0.345417
43.127075,35,0.369292
-28.037133,39,0.396347
-16.415217,42,0.423937
-15.025115,41,0.450461
-15.107709,31,0.471828
41.748725,42,0.498473
-16.855324,28,0.518182
-12.227598,39,0.543118
-26.100661,37,0.566722
-14.999734,43,0.592849
-15.529866,28,0.612661
43.55782,31,0.633888
-9.920126,42,0.660704
-11.583363,35,0.683574
-13.321058,34,0.728825
-18.343683,35,0.756281
44.961499,28,0.776065
-13.746313,46,0.80823
-14.557532,33,0.833237
-13.012146,42,0.860213
-10.229368,36,0.884125
43.815985,32,0.906034
-10.425498,36,0.929628
-7.478411,24,0.947292
-35.42368,53,0.979244
-14.231512,31,1.003646
-30.110177,43,1.033796
45.282948,28,1.056061
-10.382059,40,1.083058
-28.520895,37,1.107419
-48.121347,47,1.136575
44.948995,31,1.158297
-9.157303,37,1.182663
-17.34667,42,1.210832
-12.76292,52,1.244095
-9.816207,30,1.265888
40.470082,45,1.296667
42.666482,35,1.324805
-21.536102,49,1.359849
-12.790215,44,1.391548
-18.008227,40,1.425561
-13.377052,41,1.454845
-13.115072,32,2.184267
-16.851802,41,2.211277
-11.004978,40,2.239883
-10.699557,33,2.262137
-13.617093,34,2.284545
-12.857966,29,2.304872
-17.851814,40,2.329526
-28.710777,35,2.352143
-9.596547,33,2.374193
-11.273705,39,2.401835
-13.828759,36,2.426999
-9.653104,31,2.448667
-12.952022,34,2.470959
-12.975231,30,2.491584
45.405747,30,2.512125
-12.673492,27,2.530866
-12.743676,29,2.550926
-16.977531,29,2.570418
-14.532007,30,2.589555
-12.487618,32,2.609715
-7.989811,27,2.627432
-12.99903,30,2.646815
-15.390873,37,2.66939
-19.903459,44,2.695212
-12.540342,29,2.714125
-17.732754,29,2.734806
-15.143386,38,2.758558
-14.820429,26,2.776847
41.607314,41,2.80467
-13.555433,29,2.825699
44.216178,34,2.848674
-21.268143,36,2.873742
-12.247381,39,2.900554
-10.011602,33,2.923554
-16.141031,32,2.946447
-14.866827,37,2.972752
-30.474112,37,3.000331
-10.445916,28,3.0217
-14.098544,38,3.048427
-11.105359,35,3.072716
-16.708521,36,3.096168
-8.324915,38,3.120832
-11.577604,35,3.144619
-11.099089,35,3.168281
-9.008978,30,3.188685
-24.550347,32,3.213374
-19.350239,40,3.244488
-18.622547,30,3.266881
-25.262392,36,3.290918
-12.52967,31,3.312277
-8.960288,38,3.337932
41.445777,41,3.363585
-15.676111,26,3.384795
-19.358467,34,3.408436
-20.924479,35,3.431224
-17.49383,41,3.456931
-14.855587,33,3.479381
-16.158785,33,3.504277
-26.836601,38,3.530116
-16.949261,34,3.553146
-18.168225,34,4.218222
43.223378,40,4.244259
-12.480385,29,4.26426
-20.006616,33,4.28913
-18.070924,32,4.313978
44.417952,36,4.339611
-10.349131,27,4.359465
44.69254,32,4.38232
-9.49558,40,4.40896
-13.899377,32,4.43096
-10.662592,30,4.451962
-7.806822,31,4.472892
-7.854296,32,4.494444
-16.411127,36,4.517819
-12.778254,33,4.539482
44.860895,32,4.560612
-18.017267,31,4.580369
-10.117879,28,4.59864
-14.942346,35,4.620163
-7.995089,29,4.639767
-9.044677,34,4.661467
-16.841277,28,4.680585
-22.478734,52,4.710901
-17.645273,38,4.734439
-7.083633,27,4.752919
-12.576551,40,4.778341
-11.889619,34,4.799715
-13.266995,38,4.826684
-7.565484,26,4.845302
-17.938127,43,4.873997
-17.984572,32,4.898113
-19.991604,43,4.932673
43.078523,36,4.961874
-21.537494,42,4.989534
-5.634848,26,5.008778
-10.742769,30,5.029668
-14.221425,32,5.051948
-12.133996,33,5.074231
-15.159921,34,5.096478
-9.409836,29,5.116776
-17.130102,35,5.140109
-18.455774,36,5.166729
-11.946364,35,5.192742
-28.388299,34,5.217179
44.887683,29,5.239894
-10.937375,35,5.264205
-24.856205,38,5.288764
-10.476069,36,5.31336
-14.634213,39,5.339688
37.807016,52,5.371258
-7.071743,34,5.396598
-9.919585,35,5.42021
-22.540664,33,5.442895
-15.313515,37,5.47085
-8.31726,36,5.497039
-18.327635,32,5.523506
-12.483611,34,5.548537
-12.172414,34,5.573451
-12.845806,38,5.598481
-15.824118,35,6.268841
43.967892,38,6.294598
-7.976753,28,6.314178
-14.242824,35,6.337113
-12.963512,32,6.358735
-20.137304,50,6.39019
-14.779636,31,6.411369
45.431129,31,6.432631
-11.223973,34,6.454914
-9.197515,31,6.475564
-7.995167,29,6.495399
-7.572186,28,6.51475
-12.7597,37,6.538563
43.414331,31,6.559351
-8.588333,29,6.578389
-17.356238,48,6.607339
-20.611412,40,6.632697
-8.169936,33,6.654567
-13.375865,45,6.681319
-19.477102,38,6.706483
-6.487789,30,6.726737
-12.429982,44,6.753726
-12.595788,34,6.776003
-15.852911,33,6.798099
-10.919269,39,6.822495
-16.725525,33,6.851904
-15.192473,46,6.883321
-12.423672,31,6.905799
42.828924,35,6.929051
44.085092,31,6.950772
-10.432019,30,6.97208
-38.971636,44,7.000092
-13.684178,28,7.019717
-9.047912,27,7.038781
-8.454278,30,7.059115
-17.417158,33,7.080526
-12.328155,42,7.109064
-9.455905,30,7.132739
-16.346728,29,7.15529
-8.711808,26,7.17672
-16.435822,32,7.19953
43.023686,33,7.224647
-13.287127,30,7.247043
-26.400331,35,7.27221
-11.830736,32,7.295088
-14.064758,39,7.320012
-19.471648,46,7.347931
-15.649344,44,7.375646
-13.796866,39,7.401569
-14.254693,25,7.420025
44.401796,33,7.442224
-15.239811,38,7.46659
45.837721,29,7.486726
-17.533448,30,7.507261
-13.669309,33,7.532509
-25.832131,35,7.555537
-15.317699,31,7.577488
43.794731,31,7.59845
-14.808417,38,7.623141
-9.897004,37,7.646988
-14.901962,32,8.247243
42.424408,34,8.269684
-6.822872,30,8.290251
-11.09376,32,8.311511
-7.404418,26,8.32981
-16.852345,36,8.351926
-19.34461,35,8.375328
-28.825193,48,8.40569
-17.305226,30,8.425528
-14.350853,34,8.447806
-20.10315,37,8.472284
-17.620422,30,8.49272
41.113541,48,8.521976
-13.95101,30,8.542708
45.140612,30,8.563223
-15.583585,28,8.582997
-7.589184,27,8.602287
-13.187262,29,8.622615
44.810255,28,8.642314
-13.044403,34,8.664664
44.677467,29,8.685888
-6.962959,30,8.709534
-13.238281,40,8.735999
-7.488986,25,8.753269
-12.118072,36,8.778983
42.927549,34,8.801079
-15.334863,35,8.823517
-11.479843,34,8.845925
-14.419686,27,8.86435
-11.312903,33,8.887936
43.80131,41,8.91312
-15.48975,30,8.932612
-12.17616,29,8.951775
-10.332897,34,8.973234
-18.322362,36,8.995884
