#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
-21.378063,46,0.037538
-17.813353,45,0.06777
-30.658741,44,0.095317
34.41093,50,0.127989
-21.051467,56,0.163125
-41.776539,50,0.192843
-21.545697,51,0.222152
-18.240456,49,0.250646
-20.730913,51,0.279389
-27.000879,47,0.306571
-26.213891,42,0.332526
-25.735606,41,0.360891
-21.387247,45,0.387965
-23.789813,49,0.424728
35.257058,46,0.453745
-16.826112,47,0.483192
-20.156695,50,0.512954
-23.770251,48,0.542281
-26.312773,43,0.569104
-21.249298,55,0.601075
-61.297697,51,0.653921
-25.282918,56,0.690419
-18.162468,49,0.719402
-22.945074,44,0.745387
-21.84386,64,0.781398
-27.045546,46,0.811827
-18.860371,49,0.841373
-17.695211,45,0.871193
-16.230723,45,0.899035
-19.198269,50,0.929718
-19.322316,45,0.957871
-19.858125,50,0.988626
-28.490667,51,1.019422
-51.035326,53,1.054904
-17.623415,44,1.08331
-21.264165,50,1.113395
-24.214481,60,1.149211
-20.84032,39,1.174396
33.201803,54,1.206076
-25.453392,38,1.230001
-24.016515,46,1.262007
-26.506749,47,1.29648
-24.377681,52,2.048313
-19.496539,43,2.076475
-24.153701,41,2.102938
-27.840044,48,2.138467
33.948577,46,2.166174
36.054997,43,2.193604
36.00752,45,2.22172
-22.995271,46,2.250436
-16.167497,42,2.276115
-16.287833,41,2.303313
-17.430785,45,2.329882
-26.744192,56,2.362008
-27.243313,47,2.390027
-16.038291,41,2.41487
36.274166,44,2.441185
-19.111968,47,2.468972
32.071927,54,2.499689
-22.26404,48,2.528254
-14.907935,38,2.551671
-27.245711,40,2.576051
-18.03361,52,2.606776
35.373557,44,2.640384
35.119393,44,2.666329
-27.678906,47,2.692598
-26.785494,43,2.721087
35.906481,45,2.748991
-26.225812,48,2.778232
-19.920186,42,2.804116
-22.442083,54,2.835537
-28.371867,52,2.866098
33.886647,48,2.895668
-21.554606,40,2.922896
-20.523735,47,2.956618
33.967127,47,2.992315
-22.768999,42,3.023707
-24.360679,39,3.052411
-26.308246,55,3.086326
33.733823,49,3.116629
35.643213,43,3.146474
-22.697357,53,3.177627
-24.861331,50,3.206558
-20.884508,45,3.232799
-18.440469,54,3.269107
-28.430347,49,3.298813
-23.995168,45,4.007716
-22.477537,42,4.039072
-24.595043,49,4.069271
-18.57456,46,4.098088
-25.286067,39,4.123334
-34.654125,46,4.151914
-32.139786,45,4.180263
-18.373046,43,4.207451
-22.542058,41,4.2348
-25.235778,47,4.268114
-26.809495,52,4.302975
37.050919,36,4.327636
-22.440641,39,4.352964
-16.321009,43,4.380437
36.706669,41,4.406121
-24.50217,46,4.434624
-36.853078,44,4.461468
-35.517538,46,4.489027
-19.090533,38,4.513678
-35.22896,52,4.545274
-19.864203,39,4.570029
-62.660791,57,4.611267
-18.721522,52,4.645104
-27.20418,47,4.67363
-23.207698,43,4.700392
-23.284773,49,4.729701
-26.764564,46,4.75723
-23.582153,57,4.792364
-33.056083,43,4.817763
-18.356529,39,4.842411
-14.53545,36,4.86949
-20.757311,38,4.895034
-17.57897,48,4.928939
-24.579571,51,4.963639
36.217117,40,4.988573
-23.498626,40,5.013733
